save%2:40:02::	save%2:41:02::
transparent%5:00:00:clear:02	transparent%5:00:00:obvious:00
resistance%1:19:01::	resistance%1:04:02::
short%3:00:03::	short%5:00:00:insufficient:00
trunk%1:05:01::	trunks%1:06:00::
jump%2:38:00::	jump%2:30:05::
run%2:38:00::	run_out%2:30:12::
reception%1:14:00::	reception%1:04:03::
marbles%1:09:00::	marble%1:27:00::
moonlight%2:41:00::	moonlight%1:19:00::
denomination%1:14:00::	denomination%1:14:01::
ruler%1:18:00::	ruler%1:06:00::
erase%2:30:00::	erase%2:35:00::
pine_away%2:30:00::	pine%1:20:00::
needle%2:32:00::	needle%2:35:00::
blue%1:17:00::	out_of_the_blue%5:00:00:unexpected:00
lot%1:15:00::	lot%1:26:00::
mull%2:39:00::	mull_over%2:31:00::
jog%2:38:00::	jog%2:32:00::
hang_out%2:41:00::	hang%2:41:00::
play%1:10:01::;play%1:10:03::	play%1:04:03::
change%1:11:00::	change%1:21:01::
check_out%2:32:00::	check_out%2:40:00::
look_up_to%2:37:00::	look%2:39:00::
pin%1:06:04::	pin%1:06:00::
scale%1:24:00::	scale%1:06:02::
weather%1:19:00::	under_the_weather%5:00:00:ill:01
red%1:07:00::	red%1:21:00::
weight%1:07:00::	weight%1:07:01::
root%1:20:00::	root%2:41:00::
staged%3:00:00::	staged%5:00:00:artificial:00
tick%1:11:00::	tick%1:05:00::
trailer%1:10:00::	trailer%1:06:00::
dirty%3:00:01::	dirty%5:00:00:corrupt:00
accounting%1:10:00::	accounting%1:21:01::;accounting%1:21:00::;accounting%1:09:00::
gear_up%2:30:00::	gear%1:06:04::
home%1:06:00::	home%1:14:00::
loaded%3:00:00::	loaded%5:00:00:intoxicated:00
wired%5:00:00:tense:03	wire%2:32:00::;wired%3:00:00::
pick%2:31:00::	pick%2:32:09::
dribble%2:35:00::	dribble%2:29:00::
class%1:14:03::	class%1:07:00::
see%2:39:00::	see%2:36:00::
degree%1:23:03::	degree%1:26:01::
pick%2:31:00::	pick%2:35:05::
beat%2:42:00::	beat%2:36:05::;beat%2:38:00::;beat%2:38:03::;beat%2:39:00::;beat%2:35:10::
part_with%2:40:00::	part%1:08:01::
underground%5:00:00:subsurface:00	underground%5:00:00:covert:00
blow%1:19:00::	blow%1:11:02::
cement%1:27:03::	cement%2:35:01::
fast%4:02:01::	fast%2:34:00::
rock%2:38:06::	rock%1:10:01::
goal%1:09:00::	goal%1:04:00::
wavelength%1:07:00::	wavelength%1:09:00::
brace_oneself_for%2:30:00::	brace%1:06:03::
point%1:10:01::;point%1:09:02::	point%1:10:04::
warrant%2:32:00::	warrant%1:10:00::
screw_up%2:41:00::	screw%1:06:02::
goal%1:09:00::	goal%1:04:00::
catch%1:07:00::	catch%1:23:00::
grapevine%1:10:00::	grapevine%1:20:00::
shady%5:00:00:shaded:01	shady%5:00:00:dishonest:00
trash%1:27:00::	trash%1:10:00::
steps%1:06:00::	step%1:04:02::
cushion%2:35:00::	cushion%1:06:00::
fair%3:00:03::;fair_deal%1:11:00::	fair%1:04:01::
fire%2:41:00::	fire%2:33:00::
plastered%5:00:00:intoxicated:00	plastered%5:00:00:covered:00
stick_to%2:35:03::	stick_to%2:30:00::
buoyant%5:00:00:light:01	buoyant%5:00:00:cheerful:00
takeoff%1:04:00::	takeoff%1:04:01::
well%1:06:00::	well%4:02:00::
spring%2:38:01::	spring%1:28:00::
good_turn%1:04:00::	turn%1:04:01::
venture%1:04:01::	venture%2:32:00::
feel%2:37:00::	feel%2:39:00::
shot%1:04:00::	shot%1:26:00::
hook%2:34:00::	hook%2:35:01::
bank%1:17:01::	bank%1:06:00::
credit%1:10:00::	credit%1:21:02::
position%1:07:01::	position%1:04:01::
fall%1:28:00::	fall%1:11:00::
bounce%2:38:00::	bounce_back%2:30:00::
step%1:06:00::	step%1:04:02::
instrumental%3:01:00::	instrumental%5:00:00:helpful:00
legend%1:10:01::	legend%1:10:00::
high%3:00:02::	high%3:00:01::
chew%2:34:00::	chew_out%2:32:00::
time%1:11:00::;time%1:28:05::;time%1:28:06::	time%1:28:03::
degree%1:10:00::	degree%1:23:03::
waste%1:27:00::	waste%2:29:00::
battery%1:06:00::	battery%1:14:01::
play_out%2:40:00::	play_out%2:36:00::
bright%3:00:00::	bright%5:00:00:intelligent:00
lame%5:00:00:weak:00	lame%5:00:01:unfit:01
